Rank,Algorithm,Priority,Swappiness,PageCluster,FinalScore,Alloc(GB/s),SeqRead(GB/s),Random(GB/s),Process(GB/s)
1,lzo-rle,1000,260,0,14165.1104,1.302,24.167,56537.803,115.421
2,zstd,500,200,0,13558.8443,1.188,24.175,54101.436,129.680
3,lzo-rle,500,180,1,13389.5918,1.327,22.759,53428.355,126.718
4,lzo-rle,1000,200,1,13371.4302,1.333,24.898,53355.858,123.314
5,zstd,200,180,1,13346.6011,0.609,18.354,53264.385,124.231
6,zstd,200,150,1,13287.1546,0.867,24.416,53021.983,120.585
7,lzo-rle,500,200,0,13262.8698,1.333,24.500,52918.851,127.370
8,lzo-rle,500,200,1,13249.5388,1.333,24.007,52871.044,121.211
9,zstd,1000,150,0,13213.4504,1.307,24.620,52722.067,126.105
10,lzo-rle,1000,260,1,13154.2901,1.193,23.987,52488.396,123.483
11,lzo-rle,1000,200,0,13142.9363,1.315,24.705,52439.179,127.007
12,zstd,500,150,1,13100.3297,0.934,24.419,52268.727,127.944
13,zstd,500,220,0,13071.1085,0.938,23.896,52160.932,117.361
14,zstd,200,180,0,13063.2593,0.785,15.866,52130.138,128.844
15,zstd,200,220,0,13055.3514,0.437,24.738,52091.292,124.988
16,lzo-rle,200,260,0,13013.0410,1.328,23.846,51920.948,126.591
17,zstd,1000,260,1,12969.7978,0.636,24.576,51747.459,127.007
18,lz4,500,220,0,12962.8323,1.328,24.852,51718.745,126.793
19,lzo-rle,200,220,1,12952.2295,1.321,24.636,51680.509,121.905
20,zstd,1000,150,1,12917.5579,1.133,23.953,51537.101,129.067
21,lzo-rle,1000,220,1,12887.2770,1.332,24.329,51422.315,120.333
22,zstd,500,240,0,12856.0445,0.565,23.564,51299.150,120.233
23,zstd,500,260,0,12801.2176,1.298,24.369,51072.713,127.021
24,lz4,200,180,1,12789.0677,1.329,24.041,51023.010,128.853
25,lz4,1000,200,1,12788.7954,1.315,23.723,51026.631,123.460
26,zstd,500,260,1,12785.0896,1.307,24.085,51008.014,127.669
27,lzo-rle,200,260,1,12779.0296,1.320,23.685,50999.228,108.936
28,zstd,200,200,1,12778.4059,0.536,10.282,51005.947,118.503
29,lzo-rle,1000,150,1,12754.4148,1.308,24.716,50885.280,126.766
30,lz4,200,180,0,12736.6748,1.318,24.985,50811.820,129.475
31,zstd,1000,180,0,12711.4060,0.901,22.309,50722.209,119.678
32,lz4,200,240,0,12660.7403,1.326,23.591,50516.539,120.984
33,zstd,500,180,0,12642.2092,1.316,24.444,50439.083,123.882
34,zstd,500,150,0,12622.1572,0.418,21.040,50366.401,120.702
35,lz4,500,220,1,12610.4114,1.293,24.909,50321.584,111.097
36,lz4,500,260,1,12588.4742,1.258,23.718,50228.178,119.998
37,lzo-rle,1000,240,0,12561.5811,1.328,24.571,50113.155,127.945
38,lzo-rle,1000,240,1,12560.2527,1.309,24.764,50112.656,121.662
39,lz4,200,260,1,12521.2106,1.335,24.675,49952.013,127.357
40,zstd,200,240,0,12483.7986,0.596,10.144,49822.956,124.338
41,lzo-rle,200,200,0,12483.2630,1.326,24.051,49802.250,125.769
42,lzo-rle,200,240,1,12451.5754,1.335,24.339,49677.397,122.954
43,lzo-rle,200,180,1,12429.6499,1.320,22.613,49590.273,124.838
44,lz4,1000,240,0,12398.2516,1.340,24.759,49459.188,128.459
45,lz4,1000,220,1,12381.7934,1.309,24.879,49394.632,126.723
46,zstd,1000,180,1,12380.5095,0.797,22.644,49393.662,125.507
47,lzo-rle,500,150,0,12367.3495,1.329,24.746,49335.563,128.514
48,lzo-rle,1000,220,0,12346.9497,1.332,24.019,49254.453,128.989
49,zstd,200,150,0,12337.3378,0.959,22.814,49226.031,118.729
50,zstd,1000,220,0,12323.5280,0.800,23.307,49166.404,123.674
51,lz4,200,240,1,12293.2585,1.327,24.782,49040.892,126.347
52,lz4,1000,240,1,12289.7751,1.317,24.778,49029.426,123.279
53,zstd,200,260,0,12289.3298,0.565,23.776,49027.039,126.482
54,lz4,500,200,0,12269.5672,1.332,24.669,48947.891,124.303
55,lzo-rle,200,180,0,12266.5763,1.327,24.517,48935.993,124.455
56,lzo-rle,500,260,1,12226.9169,1.300,24.301,48775.230,127.470
57,lzo-rle,500,220,0,12222.5958,1.322,24.197,48760.110,124.894
58,zstd,1000,260,0,12211.6460,0.667,23.497,48722.349,119.214
59,lz4,1000,180,1,12202.7801,1.324,24.562,48695.951,105.464
60,zstd,1000,200,1,12126.0691,0.671,10.036,48390.697,126.082
